ID;TITULO;FRASE;PARTE;LINK;CATEGORIA;AS;TOX;LI;TE
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);Porque não, a cusão é que ele e eu ao mesmo tempo, hein?;Início;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;LI;0;0;1;0
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);julgamento por pornografia infantil.;Início;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;LI;0;0;1;0
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);E se está mostrando muita puta;Início;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;LI;0;2;2;0
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);chuva dorada;Início;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;LI;0;0;1;0
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);Porque não, a Cusão ;Início;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;LI;0;0;2;0
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);Onde é que estão aqueles seus dois netos, cabeça de merda, hein?;Meio;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;LI;0;2;2;0
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);Cara, foda-se, esses criollos intelectuais de uma figa.;Meio;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;LI;0;2;2;0
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);Essa é a única forma de manter esses criollos sob controle.;Meio;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;LI;0;0;1;0
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);Aquele nego desgraçado ;Meio;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;LI;0;0;1;0
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);esses criolos sob;Meio;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;LI;0;0;1;0
